Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Jamal Agnew,,,,,,,,O,Q,,,,,25,CB,825000,Lions,2020
Geronimo Allison,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2020
Danny Amendola,Q,,,,,,,,,O,O,,,35,WR,1500000,Lions,2020
John Atkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2020
Nick Bawden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,Lions,2020
Russell Bodine,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2020
Austin Bryant,,,,,,,,,,Q,O,,,24,EDGE,557353,Lions,2020
Hunter Bryant,O,O,O,Q,IR,IR,IR,IR,IR,IR,IR,,,22,TE,461763,Lions,2020
Justin Coleman,,IR,IR,IR,IR,IR,IR,,,,,,,27,CB,6950000,Lions,2020
Jashon Cornell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2020
Joe Dahl,,IR,IR,IR,IR,,,Q,Q,,,,,27,OG,1475000,Lions,2020
Jarrad Davis,,,,,,,,C19,Q,Q,,,,26,ILB,1960798,Lions,2020
Taylor Decker,,,,,,,Q,,,,,,,27,OT,6850000,Lions,2020
Trey Flowers,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Lions,2020
Mike Ford,IR,IR,IR,IR,IR,IR,,,,,O,,,25,CB,644120,Lions,2020
Kenny Golladay,D,O,Q,,,,,O,O,O,O,,,27,WR,2133000,Lions,2020
Everson Griffen,,,,,,,,,,,,,C19,,,,Lions,2020
Da'Shawn Hand,Q,,,Q,,,,,,Q,O,,,25,DE,750000,Lions,2020
Will Harris,,,,,,,,,,Q,,,,25,S,675000,Lions,2020
T.J. Hockenson,,,,,,,,,Q,,,,,23,TE,675000,Lions,2020
Christian Jones,,,,Q,,,,Q,,,,,,29,ILB,910000,Lions,2020
Tony McRae,,,,,,,,,IR,IR,IR,IR,IR,,,,Lions,2020
C.J. Moore,O,Q,Q,O,Q,,,,,,,,,25,DB,675000,Lions,2020
Jeff Okudah,Q,,,,,,,,,,O,,,,,,Lions,2020
Julian Okwara,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2020
Amani Oruwariye,,,,,,,,,,,Q,,,24,CB,675000,Lions,2020
Reggie Ragland,,,,,,,,,,,Q,,,27,ILB,825000,Lions,2020
Frank Ragnow,,,,,Q,,,,,,,,,24,C,1550922,Lions,2020
Jalen Reeves-Maybin,,,,,,,Q,,,,,,,25,OLB,825000,Lions,2020
Darryl Roberts,Q,Q,,Q,,,Q,IR,IR,IR,IR,IR,,30,CB,1000000,Lions,2020
Bo Scarbrough,IR,IR,IR,IR,IR,IR,,,,,,,,,,,Lions,2020
Danny Shelton,,,,,,,,,,,,IR,IR,,,,Lions,2020
Dan Skipper,IR,IR,,,,,,,,,,,,,,,Lions,2020
Matthew Stafford,,,,,,,,C19,,Q,,,,32,QB,7200000,Lions,2020
D'Andre Swift,,,,,,,,,,O,Q,,,21,RB,610000,Lions,2020
Desmond Trufant,,O,D,Q,O,O,Q,,,,,IR,IR,,,,Lions,2020
Halapoulivaati Vaitai,O,Q,Q,,,,,Q,Q,Q,IR,IR,IR,,,,Lions,2020
Tracy Walker,,,,,,,,O,,,,,,25,S,750000,Lions,2020
Nick Williams,,Q,,,,,,,Q,,,,,30,DT,2900000,Lions,2020
