Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
C.J. Beathard,,,,,,,,,Q,,,,,,,,25,qb,625393,Fourty-niners,2018
Matt Breida,,,,Q,Q,Q,,Q,Q,,,,O,Q,,O,23,RB,555000,Fourty-niners,2018
Aaron Burbridge,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2018
Garrett Celek,,,,,,,,,,,,,,,,O,,,,Fourty-niners,2018
Adrian Colbert,,Q,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,25,FS,555000,Fourty-niners,2018
Jonathan Cooper,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2018
Brock Coyle,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2018
Antone Exum,,,,Q,,,,,O,,,,,,,,27,fs,705000,Fourty-niners,2018
JP Flynn,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2018
Reuben Foster,,,,,,,,,O,O,Q,,,,,,24,RLB,772684,Fourty-niners,2018
Pierre Garcon,,,,,,Q,Q,D,Q,IR,IR,IR,IR,IR,IR,IR,32,WR,6625000,Fourty-niners,2018
Joshua Garnett,,O,O,O,,,,,,,O,O,,,,,,,,Fourty-niners,2018
Jimmy Garoppolo,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2018
Marquise Goodwin,,O,Q,,Q,,,,,,,O,,Q,,O,28,WR,1450000,Fourty-niners,2018
Marcell Harris,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,24,ss,363000,Fourty-niners,2018
George Kittle,,,,,,Q,,,,,,,,,,,,,,Fourty-niners,2018
Erik Magnuson,O,O,,,,,,,,,,,,,,,,,,Fourty-niners,2018
Cassius Marsh,,,,,,,,,,,,,,Q,,,,,,Fourty-niners,2018
Mike McGlinchey,,,,,Q,,,,,,,,,,,,23,RG,480000,Fourty-niners,2018
Jerick McKinnon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2018
Tarvarius Moore,,,,,,,,,,,,,,,,Q,,,,Fourty-niners,2018
Alfred Morris,,,,Q,,,,,,,,,,,,,,,,Fourty-niners,2018
Emmanuel Moseley,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2018
Raheem Mostert,,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2018
Mark Nzeocha,,,,,,,,,,,,,,Q,,,,,,Fourty-niners,2018
Michael Person,,Q,,,,Q,,,,,,,,,,,30,RG,915000,Fourty-niners,2018
Dante Pettis,,,,,O,O,O,,,,,,,Q,,O,23,wr,480000,Fourty-niners,2018
D.J. Reed,,,,,,,,,,,,O,,,,,,,,Fourty-niners,2018
Weston Richburg,,,,,Q,Q,,Q,Q,,,,,,,,27,C,3000000,Fourty-niners,2018
Richard Sherman,,,,O,Q,,Q,Q,Q,,,,,,,,30,LCB,2000000,Fourty-niners,2018
Malcolm Smith,D,Q,,,,,,,,,,,IR,,IR,,29,rlb,3000000,Fourty-niners,2018
Joe Staley,,,,,Q,Q,,,,,,,,,,,34,LT,8025000,Fourty-niners,2018
Kentavius Street,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2018
Jaquiski Tartt,,,Q,D,,,,,O,O,,,IR,IR,O,IR,26,SS,1021865,Fourty-niners,2018
Trent Taylor,,,,,,D,Q,,IR,,,,,,,,,,,Fourty-niners,2018
Jimmie Ward,,,,,Q,,D,,,,,IR,IR,IR,IR,IR,27,fs,8526000,Fourty-niners,2018
Dekoda Watson,O,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,IR,IR,,,,Fourty-niners,2018
K'Waun Williams,,,,,,Q,Q,,,,,,Q,Q,,,27,DB,1250000,Fourty-niners,2018
Ahkello Witherspoon,,,,,,,,,,,,,,,IR,IR,23,RCB,638325,Fourty-niners,2018
