Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Josh Adams,,,,,,,,,,,,Q,,,,,22,rb,1050000,Eagles,2018
Jay Ajayi,,,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2018
D.J. Alexander,,,,,,O,O,,,,,,,,Q,O,,,,Eagles,2018
Derek Barnett,,,,,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,22,lde,1049126,Eagles,2018
Michael Bennett,,,,,,,,,,,,Q,Q,Q,Q,Q,33,LDE,1650000,Eagles,2018
Elie Bouka,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2018
Corey Clement,,,Q,Q,Q,,,,,,,,,IR,IR,IR,,,,Eagles,2018
Ronald Darby,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,24,RCB,1008139,Eagles,2018
Rasul Douglas,,,,,,,,,,,Q,,,,,,24,lcb,580000,Eagles,2018
Shelton Gibson,,Q,,,,,,,,,,,,Q,,,,,,Eagles,2018
Corey Graham,,,,,,O,O,O,,,,,,,,,33,SS,1015000,Eagles,2018
Kamu Grugier-Hill,,,Q,,,,,,,,,,,,,,24,LLB,630000,Eagles,2018
Jordan Hicks,,,,,,,,,,,O,O,O,O,,Q,26,MLB,1907000,Eagles,2018
Mack Hollins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2018
Alshon Jeffery,O,O,Q,Q,,,,,,,,,,,,,28,WR,1000000,Eagles,2018
Timmy Jernigan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,Q,O,Q,,,,,Eagles,2018
Lane Johnson,,,,,,Q,,,Q,Q,,,,,,,,,,Eagles,2018
Sidney Jones,,,,,,,O,O,O,,O,,,O,O,O,,,,Eagles,2018
Jason Kelce,,,,,,,,,,,,,,,,Q,,,,Eagles,2018
Cre'von LeBlanc,,,,,,,,,,,,,,,Q,,,,,Eagles,2018
Avonte Maddox,,,,,,,,,,,O,O,Q,Q,,,22,RCB,480000,Eagles,2018
Jordan Mailata,,,,,,,,,,,,,,IR,IR,IR,,,,Eagles,2018
Chris Maragos,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2018
Rodney McLeod,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2018
Jalen Mills,,,,,,,,,IR,IR,IR,IR,O,IR,IR,IR,24,LCB,630000,Eagles,2018
Haloti Ngata,,,,,Q,O,Q,Q,,Q,,,,,,,34,LDT,1015000,Eagles,2018
Joshua Perkins,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,,,,Eagles,2018
Jason Peters,,,Q,,,,,,,,,,,,,Q,36,LT,6750000,Eagles,2018
Richard Rodgers,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,Eagles,2018
Isaac Seumalo,,,,,,,,,,,,,,O,O,O,25,LG,664000,Eagles,2018
Darren Sproles,,O,O,O,O,O,O,O,O,O,O,Q,,,,,,,,Eagles,2018
Josh Sweat,,,,,,,,,Q,,,,,IR,IR,IR,,,,Eagles,2018
Bryce Treggs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2018
Destiny Vaeao,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2018
Mike Wallace,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,,,,Eagles,2018
Toby Weathersby,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2018
Carson Wentz,O,O,,,,,,,,,,,,D,O,O,26,QB,630000,Eagles,2018
Paul Worrilow,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2018
Adam Zaruba,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2018
