Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Houston Bates,,,,,,,,,,,,,,,IR,IR,,,,WFT,2016
Will Blackmon,,,,,,,,,Q,,,,O,Q,,,32,fs,900000,WFT,2016
Kevin Bowen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2016
Bashaud Breeland,,,,O,O,Q,,Q,,,,Q,,,,,24,LCB,600000,WFT,2016
Mack Brown,,,,,,,,,,,,,,Q,,,,,,WFT,2016
David Bruton,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2016
Derek Carrier,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Q,,,,,,,WFT,2016
William Compton,,,,,,,,,,,,,Q,D,Q,Q,27,LILB,600000,WFT,2016
Su'a Cravens,,Q,Q,,O,Q,,,,,,,,O,O,O,,,,WFT,2016
Jamison Crowder,,,,,,,,Q,,,,,,,,,23,WR,525000,WFT,2016
Steven Daniels,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2016
Vernon Davis,,,,,,,,Q,,,,,,,,,32,TE,1350000,WFT,2016
Reggie Diggs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2016
Josh Doctson,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2016
Quinton Dunbar,,,,,,,,,,,,,,,O,O,,,,WFT,2016
Kedric Golston,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2016
DeAngelo Hall,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2016
Duke Ihenacho,,,,,,,,,Q,,,,,,,,27,FS,675000,WFT,2016
Matt Jones,Q,,,,,,,O,,,,,,,,,23,rb,539000,WFT,2016
Robert Kelley,,,,,,,,,,,,,,,,Q,24,RB,450000,WFT,2016
Ryan Kerrigan,,,,,Q,,,,,,,,,Q,Q,Q,,,,WFT,2016
Anthony Lanier,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,WFT,2016
Shawn Lauvao,,,,O,Q,,,,,,,,Q,Q,,,29,LG,4000000,WFT,2016
Kory Lichtensteiger,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,WFT,2016
Spencer Long,Q,,,,,,,Q,,,,,O,Q,,Q,26,C,600000,WFT,2016
Keith Marshall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2016
Morgan Moses,,,,,,,,,Q,Q,,,,,,,25,RT,680000,WFT,2016
Trent Murphy,,,,Q,,,,,,,,Q,,,,Q,,,,WFT,2016
Josh Norman,,,,,,,,Q,,,,,,,,,29,RCB,5000000,WFT,2016
Ty Nsekhe,,,Q,,,,,,,,Q,Q,Q,Q,Q,,,,,WFT,2016
Vinston Painter,,,,,,,,,,,,,,,,O,,,,WFT,2016
Niles Paul,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2016
Dashaun Phillips,,,,O,O,,,,,,,,,,,,,,,WFT,2016
Jordan Reed,,,,,,Q,O,Q,,,,O,Q,Q,Q,Q,,,,WFT,2016
Brandon Scherff,,,,,,,,Q,,,,Q,Q,,,,,,,WFT,2016
Preston Smith,,,,,,,,,,,,,Q,,,,24,LOLB,697698,WFT,2016
Martrell Spaight,,O,Q,,,,,,,,,,,Q,Q,Q,,,,WFT,2016
Nick Sundberg,,,,,,,,,,Q,O,Q,,,,,,,,WFT,2016
Chris Thompson,,,,,,,,,,,,Q,,,,,,,,WFT,2016
Donte Whitner,,,,,,,,,,,,,,,,IR,31,SS,985000,WFT,2016
