Player ,09/11vs. CIN,09/15vs. BUF,09/25vs. KAN,10/02vs. SEA,10/09vs. PIT,10/17vs. ARI,10/23vs. BAL,10/30vs. CLE,11/06vs. MIA,11/13vs. LAR,11/27vs. NWE,12/05vs. IND,12/11vs. SFO,12/17vs. MIA,12/24vs. NWE,01/01vs. BUF,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Antonio Allen,,,,,,,,,,,,,O,IR,IR,IR,,,,,,,,,,,,,
Robby Anderson,,,,,,,,,,,,,,,,Q,11.0,23.0,WR,16.0,8.0,190.0,2020-06-03,Temple,1993-05-09,Rook,4.0,,450000.0
Brandon Bostick,,,,,,,,,,,,,,Q,,,82.0,27.0,te,16.0,7.0,245.0,2020-06-03,Newberry,1989-05-03,4,0.0,,600000.0
Braedon Bowman,,,,,O,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Juston Burris,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Bruce Carter,Q,Q,,Q,,,,O,O,O,,Q,,,,,,,,,,,,,,,,,
Mike Catapano,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Jake Ceresna,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Clady,,,,Q,,,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,78.0,30.0,LT,9.0,8.0,315.0,2020-06-06,Boise St.,1986-09-06,8,4.0,Denver Broncos / 1st / 12th pick / 2008,3500000.0
Kellen Davis,,,,,,,,,O,,IR,IR,IR,IR,IR,IR,47.0,31.0,TE,8.0,7.0,259.0,2020-06-06,Michigan St.,1985-10-11,8,0.0,Chicago Bears / 5th / 158th pick / 2008,885000.0
Eric Decker,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Quincy Enunwa,,,,,Q,,,,,,,,,Q,,,81.0,24.0,WR,16.0,13.0,225.0,2020-06-02,Nebraska,1992-05-31,2,6.0,New York Jets / 6th / 209th pick / 2014,525000.0
Ryan Fitzpatrick,,,,,,,,,,Q,,,,,,,14.0,34.0,QB,14.0,11.0,228.0,2020-06-02,Harvard,1982-11-24,11,5.0,St. Louis Rams / 7th / 250th pick / 2005,2000000.0
Matt Forte,,,,,,,,,,,,,,Q,IR,O,22.0,31.0,RB,14.0,13.0,221.0,2020-06-01,Tulane,1985-12-10,8,5.0,Chicago Bears / 2nd / 44th pick / 2008,1000000.0
Breno Giacomini,IR,IR,IR,IR,IR,IR,IR,,Q,,,Q,O,IR,IR,IR,68.0,31.0,rg,5.0,5.0,320.0,2020-06-07,Louisville,1985-09-27,8,2.0,Green Bay Packers / 5th / 150th pick / 2008,5000000.0
Marcus Gilchrist,,,,,,,,,,,,,,IR,IR,IR,21.0,28.0,FS,13.0,13.0,200.0,2020-05-10,Clemson,1988-12-08,5,5.0,San Diego Chargers / 2nd / 50th pick / 2011,5000000.0
David Harris,Q,Q,Q,,,D,,,,,,,,,,,52.0,32.0,RILB,15.0,15.0,250.0,2020-06-02,Michigan,1984-01-21,9,7.0,New York Jets / 2nd / 47th pick / 2007,7500000.0
Erin Henderson,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jordan Jenkins,D,D,,,,,,,,,,,,,,,48.0,22.0,ROLB,14.0,11.0,259.0,2020-06-03,Georgia,1994-07-01,Rook,5.0,New York Jets / 3rd / 83rd pick / 2016,450000.0
Darron Lee,,,,,,,O,O,O,,,,,,,,50.0,22.0,LILB,13.0,9.0,232.0,2020-06-01,Ohio St.,1994-10-18,Rook,4.0,New York Jets / 1st / 20th pick / 2016,450000.0
Corey Lemonier,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Mangold,,,,,,Q,Q,D,D,O,Q,,IR,IR,IR,IR,74.0,32.0,C,8.0,8.0,307.0,2020-06-04,Ohio St.,1984-01-13,10,3.0,New York Jets / 1st / 29th pick / 2006,5600000.0
Jalin Marshall,,,,O,D,,,,,,,O,O,,,,,,,,,,,,,,,,
Nick Marshall,,,,,,,,,,,O,,,,,D,,,,,,,,,,,,,
Josh Martin,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,
Lorenzo Mauldin,,,,,,,,,,,,D,O,O,O,O,,,,,,,,,,,,,
Steve McLendon,,,,,,,,,,,Q,O,O,O,O,O,99.0,30.0,NT,11.0,9.0,310.0,2020-06-03,Troy,1986-01-03,6,4.0,,1750000.0
Dee Milliner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Romar Morris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Julien Obioha,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bryce Petty,O,O,O,O,O,,,,,,,,,,,IR,,,,,,,,,,,,,
Calvin Pryor,,,,,,,,,,,,O,,,,,25.0,24.0,SS,15.0,15.0,207.0,2020-05-11,Louisville,1992-07-02,2,5.0,New York Jets / 1st / 18th pick / 2014,1198478.0
Brent Qvale,,,,,,,O,D,D,,,,,D,,,79.0,25.0,rt,12.0,5.0,315.0,2020-06-07,Nebraska,1991-03-11,2,2.0,,525000.0
Darrelle Revis,,,,,D,Q,,,,,,,,,,,24.0,31.0,RCB,15.0,15.0,198.0,2020-05-11,Pittsburgh,1985-07-14,9,6.0,New York Jets / 1st / 14th pick / 2007,17000000.0
Sheldon Richardson,,,,,,,,,,,,,,,,Q,91.0,26.0,LOLB,15.0,14.0,294.0,2020-06-03,Missouri,1990-11-29,3,7.0,New York Jets / 1st / 13th pick / 2013,1671530.0
Darryl Roberts,O,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khiry Robinson,,,,,,,,,,,,,O,D,Q,IR,,,,,,,,,,,,,
Austin Seferian-Jenkins,,,,,,Q,O,D,,,,,,,,O,,,,,,,,,,,,,
Brandon Shell,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,
Buster Skrine,,,,,,,,D,,Q,,,,O,,,41.0,27.0,LCB,14.0,14.0,187.0,2020-05-09,Chattanooga,1989-04-26,5,5.0,Cleveland Browns / 5th / 137th pick / 2011,2750000.0
Devin Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,
Geno Smith,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Julian Stanford,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Lawrence Thomas,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Wilds,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Muhammad Wilkerson,,Q,,,,,Q,Q,Q,,,Q,Q,Q,Q,Q,96.0,27.0,RDE,15.0,14.0,315.0,2020-06-04,Temple,1989-10-22,5,7.0,New York Jets / 1st / 30th pick / 2011,7000000.0
Marcus Williams,,,,,,,,,,O,O,Q,,,,,,,,,,,,,,,,,
Brian Winters,,,,,O,,,,,,,,,,IR,IR,67.0,25.0,RG,13.0,13.0,320.0,2020-06-04,Kent St.,1991-07-16,3,5.0,New York Jets / 3rd / 72nd pick / 2013,1671000.0
